num_artists,num_playlists,streams,bpm,bpm_category,scale,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,is_hyper_popular
2,1635,68895644,108,Low,Major,65,52,69,31,0,8,36,False
2,7731,686734357,101,Low,Major,66,18,68,9,0,12,4,False
1,547,68616963,106,Low,Major,67,24,78,15,0,30,4,False
1,4214,685071800,92,Low,Major,86,89,79,17,0,11,6,False
1,4875,685032533,136,Medium,Minor,62,19,53,11,0,6,4,False
1,6518,684675814,160,Medium,Major,71,40,50,16,0,16,22,False
1,5415,682475162,96,Low,Minor,87,82,53,10,0,5,8,False
1,34,68216992,92,Low,Minor,71,41,31,79,0,10,5,False
1,2335,681583126,132,Medium,Major,56,20,55,45,1,32,3,False
1,9243,677389855,114,Medium,Minor,59,30,62,1,0,8,4,False
1,989,67540165,90,Low,Major,53,47,74,9,0,34,4,False
2,19067,675039469,134,Medium,Major,93,61,74,9,0,17,8,False
2,12403,674772936,125,Medium,Minor,85,64,81,2,5,7,9,False
2,4637,674072710,98,Low,Minor,90,40,59,0,0,10,29,False
2,5375,673801126,176,High,Major,73,79,86,42,0,7,18,False
2,5073,672656250,129,Medium,Major,83,44,62,2,0,8,6,False
1,2590,671365962,122,Medium,Major,88,43,50,7,0,14,5,False
1,596,67070410,100,Low,Major,72,42,66,18,4,19,4,False
2,871,66902503,128,Medium,Major,78,59,65,10,0,26,5,False
1,3257,665765558,164,High,Minor,70,71,58,24,0,7,13,False
1,8879,663832097,202,High,Major,24,76,60,77,0,12,4,False
1,6457,657723613,96,Low,Major,86,74,80,33,0,8,6,False
1,1211,65719930,105,Low,Minor,73,59,81,13,0,9,6,False
2,9151,656013912,118,Medium,Minor,75,46,76,3,0,9,4,False
2,7615,655466831,130,Medium,Minor,80,64,76,2,0,20,6,False
1,290,65496046,105,Low,Minor,89,67,78,9,0,7,33,False
1,892,65362788,150,Medium,Major,43,42,44,57,0,15,6,False
2,3741,652704649,131,Medium,Major,77,84,71,35,0,15,4,False
2,4893,651732901,120,Medium,Major,72,67,72,0,0,13,4,False
3,1117,65156199,144,Medium,Major,77,75,58,52,0,23,25,False
2,1040,64787943,117,Medium,Major,92,62,86,11,0,24,24,False
2,847,64714573,140,Medium,Major,89,75,70,6,0,13,5,False
1,1776,646886885,140,Medium,Major,58,4,60,7,41,8,3,False
3,178,64533040,100,Low,Major,56,53,55,53,0,12,4,False
1,1184,63803529,122,Medium,Major,77,25,62,34,0,23,3,False
1,3246,635412045,132,Medium,Major,58,27,48,50,0,12,3,False
1,9577,629173063,162,High,Minor,67,88,54,51,0,9,4,False
1,2226,624515457,161,High,Minor,78,65,52,46,0,12,31,False
1,10826,624101957,103,Low,Major,37,17,27,75,5,10,3,False
1,4564,621660989,164,High,Major,45,24,62,8,0,16,3,False
1,819,62019074,160,Medium,Major,72,78,68,28,0,11,12,False
2,4284,618990393,180,High,Minor,72,61,63,67,0,9,28,False
2,5871,618885532,163,High,Major,54,40,67,0,0,9,17,False
1,1480,61739839,72,Low,Minor,56,56,47,76,0,8,36,False
2,3185,614555082,97,Low,Major,83,47,80,2,0,24,9,False
2,859,61245289,122,Medium,Minor,81,74,71,14,0,56,4,False
2,7495,611994237,120,Medium,Minor,56,16,67,0,0,11,4,False
2,1275,611700552,90,Low,Minor,59,52,48,38,5,10,11,False
2,875,61105704,120,Medium,Minor,80,33,70,22,0,9,4,False
3,3272,610045621,154,Medium,Major,66,63,69,21,0,11,7,False
2,5281,609293408,101,Low,Major,74,43,69,12,0,12,7,False
1,1801,608334048,125,Medium,Major,70,65,74,1,0,34,4,False
2,2482,608228647,114,Medium,Minor,80,42,68,2,0,66,4,False
1,7324,607123776,90,Low,Major,51,42,61,53,0,9,3,False
2,807,60680939,148,Medium,Major,68,29,73,0,0,7,7,False
2,4796,606361689,174,High,Major,70,57,64,23,0,8,32,False
2,359,60350538,110,Low,Minor,66,32,40,81,0,11,3,False
1,3430,601863821,95,Low,Major,87,57,55,10,0,29,7,False
2,2790,600976848,101,Low,Major,34,32,57,78,0,20,3,False
1,3947,599770206,94,Low,Major,57,36,58,5,0,15,3,False
2,3406,596152090,92,Low,Major,85,92,54,16,0,29,7,False
1,7842,595900742,115,Medium,Major,78,64,69,4,0,7,14,False
3,5199,594482982,146,Medium,Minor,85,22,37,13,0,7,30,False
2,5403,593917618,168,High,Major,67,29,47,5,0,22,26,False
1,5148,588955257,91,Low,Major,57,30,89,10,0,33,8,False
2,329,58890931,148,Medium,Major,50,49,76,12,0,12,3,False
2,1860,58687425,174,High,Major,73,26,54,30,0,34,32,False
2,3618,585695368,168,High,Minor,78,58,73,5,0,10,7,False
2,709,58473276,96,Low,Minor,48,50,80,40,0,37,20,False
1,4635,583687007,93,Low,Major,63,21,52,28,0,9,3,False
1,1795,582981380,180,High,Minor,59,69,61,84,0,46,36,False
1,2948,582863434,110,Low,Minor,51,48,82,0,0,5,3,False
1,422,58255150,150,Medium,Minor,78,52,82,18,0,15,7,False
1,714,58149378,100,Low,Major,67,26,71,37,0,11,4,False
2,641,58054811,129,Medium,Major,63,84,82,70,8,9,7,False
2,1134,57945987,93,Low,Major,79,58,62,11,0,11,23,False
3,18773,579395142,92,Low,Major,77,76,84,3,0,38,4,False
1,2259,57876440,130,Medium,Minor,67,96,88,12,19,8,4,False
2,3221,578207856,116,Medium,Major,75,36,76,12,0,10,10,False
2,4657,573633020,153,Medium,Minor,56,42,52,5,0,36,24,False
4,773,57312735,170,High,Minor,62,55,80,15,0,37,7,False
1,811,57144458,81,Low,Major,47,33,68,24,0,22,38,False
1,3045,571386359,166,High,Minor,40,23,48,5,0,12,3,False
2,896,57089066,126,Medium,Major,78,20,70,1,0,16,4,False
1,3372,570515054,122,Medium,Major,67,49,64,10,0,10,3,False
1,899,56870689,150,Medium,Major,79,77,46,5,0,11,7,False
2,6026,566954746,120,Medium,Minor,77,51,79,20,0,26,6,False
1,282,56533272,142,Medium,Major,49,48,67,10,0,26,3,False
1,6332,563902868,88,Low,Major,31,31,63,47,27,21,12,False
2,6308,560222750,134,Medium,Major,71,14,61,1,0,23,33,False
2,201,55842345,128,Medium,Minor,75,79,63,33,0,15,4,False
3,5491,556585270,83,Low,Major,46,34,64,31,0,7,34,False
1,3444,554875730,145,Medium,Major,57,23,66,4,6,15,4,False
2,2953,553634067,170,High,Minor,81,56,48,21,0,8,33,False
1,1963,551305895,90,Low,Major,80,71,69,2,0,27,10,False
2,620,54937991,115,Medium,Minor,90,74,54,16,0,13,28,False
1,1329,54682594,80,Low,Major,47,33,83,18,0,10,5,False
1,4673,546191065,92,Low,Minor,81,40,73,15,0,9,8,False
2,1004,54266102,130,Medium,Minor,77,84,89,17,0,43,5,False
5,182,54225632,110,Low,Minor,76,96,72,32,0,9,4,False
1,492,540654286,95,Low,Minor,84,52,77,12,0,7,4,False
3,2696,540539717,120,Medium,Major,58,44,60,44,9,5,6,False
1,330,53987404,93,Low,Major,78,75,62,6,0,15,6,False
2,4771,539595276,97,Low,Major,68,72,78,4,0,7,5,False
1,811,53933526,78,Low,Minor,27,10,49,62,0,49,5,False
1,181,53909146,118,Medium,Major,68,24,58,44,0,6,3,False
2,3794,538115192,123,Medium,Major,71,58,70,30,0,32,19,False
1,555,53729194,105,Low,Major,83,32,82,14,0,12,4,False
1,1929,53603447,92,Low,Minor,66,29,65,23,0,8,7,False
2,5129,532336353,96,Low,Major,54,25,74,14,0,9,11,False
3,6734,530511203,95,Low,Major,77,40,47,2,0,9,3,False
3,6556,528544703,172,High,Minor,74,79,66,11,0,8,16,False
1,660,52722996,106,Low,Major,73,22,86,31,0,12,4,False
1,2954,527033089,95,Low,Major,81,56,70,4,0,5,24,False
2,266,52294266,168,High,Major,56,63,87,39,0,11,5,False
1,516,52135248,123,Medium,Major,69,82,76,6,0,6,3,False
1,3788,520034544,148,Medium,Major,50,96,82,47,0,34,4,False
2,215,51985779,84,Low,Minor,43,14,74,1,0,19,8,False
2,3408,518745108,67,Low,Minor,53,50,53,23,0,44,7,False
1,4999,516784627,92,Low,Minor,91,79,66,32,0,9,16,False
1,680,51641685,116,Medium,Major,61,48,55,67,0,16,8,False
1,3506,513643924,178,High,Major,76,63,77,14,0,15,22,False
1,3047,510876816,123,Medium,Minor,75,93,86,8,0,14,3,False
3,675,50847624,178,High,Minor,62,56,66,18,0,12,5,False
1,910,50746620,89,Low,Major,65,60,60,11,0,10,40,False
1,3297,506778838,140,Medium,Major,79,56,91,26,0,13,21,False
2,2876,505671438,83,Low,Minor,57,56,72,23,0,27,5,False
1,3956,502574952,145,Medium,Major,84,88,53,35,0,8,7,False
1,2868,501541661,80,Low,Major,70,57,49,19,0,12,8,False
1,4049,500340342,184,High,Major,69,91,63,11,0,9,31,False
1,3436,499710590,124,Medium,Major,86,62,49,51,0,35,21,False
1,2742,498960285,120,Medium,Major,67,8,54,27,0,8,4,False
2,5730,497225336,145,Medium,Minor,59,20,74,1,0,15,5,False
1,2942,496795686,120,Medium,Minor,78,76,59,43,0,34,3,False
1,3766,496311364,180,High,Minor,35,23,61,23,0,19,6,False
1,714,49262961,128,Medium,Major,45,35,68,78,0,39,8,False
3,5481,489945871,136,Medium,Minor,80,33,60,0,0,32,14,False
1,3763,488386797,97,Low,Major,73,10,44,26,0,16,8,False
1,6596,485285717,160,Medium,Major,51,69,81,0,0,21,5,False
1,4169,482257456,140,Medium,Major,91,97,57,38,0,40,29,False
1,1524,482175240,110,Low,Major,82,67,69,0,0,18,4,False
1,14169,481697415,115,Medium,Major,60,23,57,0,2,27,3,False
1,3006,480507035,144,Medium,Minor,57,47,84,1,1,52,4,False
2,1796,479655659,196,High,Minor,66,58,79,23,0,22,20,False
1,67,47956378,90,Low,Minor,74,36,63,26,0,27,5,False
2,2598,477033549,92,Low,Minor,76,46,79,31,0,7,6,False
1,7655,476244795,151,Medium,Major,65,70,47,87,0,9,4,False
2,10585,473248298,143,Medium,Major,60,86,32,88,0,34,6,False
3,3301,471819764,102,Low,Minor,83,58,83,21,0,10,5,False
2,308,47093942,92,Low,Major,81,48,70,13,0,15,7,False
1,5443,467727006,89,Low,Minor,46,43,43,23,8,8,22,False
1,6339,466231982,105,Low,Minor,56,57,87,0,1,10,4,False
1,4431,466214729,88,Low,Major,53,55,73,9,0,3,5,False
1,2636,465959382,102,Low,Minor,77,26,63,58,0,11,5,False
3,995,463564958,136,Medium,Minor,77,79,73,15,0,27,10,False
2,7758,462791599,125,Medium,Minor,84,70,69,1,0,5,5,False
1,2229,461558540,78,Low,Major,56,61,90,36,0,18,31,False
2,4708,461437791,140,Medium,Minor,62,46,73,10,0,67,11,False
2,588,46142772,90,Low,Major,62,7,62,6,0,58,6,False
2,381,46065667,134,Medium,Major,76,61,58,6,0,16,3,False
4,10829,460492795,147,Medium,Major,33,39,61,32,0,77,3,False
1,2461,459276435,170,High,Minor,71,59,56,4,0,27,12,False
1,3995,457184829,150,Medium,Major,49,4,55,7,0,6,3,False
1,3282,449701773,110,Low,Major,59,22,38,42,0,12,3,False
1,2459,448843705,120,Medium,Major,71,57,97,1,0,13,11,False
1,4576,448500832,160,Medium,Minor,80,74,60,8,0,14,26,False
1,6512,446390129,134,Medium,Major,45,72,24,91,0,18,4,False
1,4013,445763624,107,Low,Major,81,82,78,38,0,12,4,False
1,8775,445590495,118,Medium,Major,56,25,45,1,3,7,3,False
